name,mon_date,subj_date,address,material,type,com_topic,com_subtopic,author,longitude,latitude,description,inscription,mon_story,subj_story
Боткину С. П.,1908,1889,"г. Санкт-Петербург, Боткинская ул., 20",bronze,sculpture,person,science,Беклемишев В. А.,30.346604,59.9584656,Скульптор: Беклемишев В. А. В 1873 г. на территории Медико-хирургической академии было построено здание Михайловской клинической больницы баронета Виллие. С. П. Боткин возглавил терапевтическое отделение этой больницы. После смерти врача на средства общественности и Медицинской академии решено установить ему памятник перед входом в больницу. Заказ на изготовление статуи передан скульптору В. А. Беклемишеву. Отливка скульптуры производилась на бронзолитейном заводе А. Морана.,NA,Скульптор: Беклемишев В. А. В 1873 г. на территории Медико-хирургической академии было построено здание Михайловской клинической больницы баронета Виллие. С. П. Боткин возглавил терапевтическое отделение этой больницы. После смерти врача на средства общественности и Медицинской академии решено установить ему памятник перед входом в больницу. Заказ на изготовление статуи передан скульптору В. А. Беклемишеву. Отливка скульптуры производилась на бронзолитейном заводе А. Морана.,NA
Боткину С. П.,1920,1889,"г. Санкт-Петербург, Миргородская ул., 3",bronze,bust,person,science,Гинцбург И. Я.,30.3762022,59.9233982,"Скульптор: Гинцбург И. Я. На территории инфекционной больницы им. С. П. Боткина установлен памятник ее основателю, терапевту, основоположнику физиологического направления в клинической медицине. Бюст отлит в 1896 г. на бронзолитейном заводе К. Берто, установлен в 1920-х гг.",NA,"Скульптор: Гинцбург И. Я. На территории инфекционной больницы им. С. П. Боткина установлен памятник ее основателю, терапевту, основоположнику физиологического направления в клинической медицине. Бюст отлит в 1896 г. на бронзолитейном заводе К. Берто, установлен в 1920-х гг.",NA
Бродскому И.,2017,1996,"г. Санкт-Петербург, ул. Одоевского, 28",granite,sculpture,person,art,Ротанов Е.,30.240913,59.94762,В начале 2017 года в сквере на улице Одоевского вырос необычный памятник Иосифу Бродскому из гранитных поребриков. Создатель изваяния — Евгений Ротанов.,NA,В начале 2017 года в сквере на улице Одоевского вырос необычный памятник Иосифу Бродскому из гранитных поребриков. Создатель изваяния — Евгений Ротанов.,NA
Броненосцу «Император Александр III»,1908,1905,"г. Санкт-Петербург, Никольская пл.",granite,obelisk,group,soldiers,Филотей Я. И.,30.3022712,59.9227922,"Скульптор: Обер А. Л. Архитектор: Филотей Я. И. Памятник посвящен морякам броненосца «Император Александр III», погибшим во время Цусимского боя 14—15 мая 1905 г. в составе 2-й Тихоокеанской флотилии. Вскоре после этого скорбного события на собрании офицеров Гвардейского экипажа было решено приступить к сбору средств на сооружение памятника погибшим. Осенью 1907 г. офицер Гвардейского корпуса полковник М. С. Путятин представил проект и рисунок памятника, получивший одобрение императора. Заказ на исполнение получил Архитектор Я. И. Филотей, владелец мастерской по изготовлению монументов, скульптурные работы выполнил скульптор А. Л. Обер. В третью годовщину со дня Цусимского сражения 15 мая 1908 г. состоялось торжественное открытие памятника.",NA,"Скульптор: Обер А. Л. Архитектор: Филотей Я. И. Памятник посвящен морякам броненосца «Император Александр III», погибшим во время Цусимского боя 14—15 мая 1905 г. в составе 2-й Тихоокеанской флотилии. Вскоре после этого скорбного события на собрании офицеров Гвардейского экипажа было решено приступить к сбору средств на сооружение памятника погибшим. Осенью 1907 г. офицер Гвардейского корпуса полковник М. С. Путятин представил проект и рисунок памятника, получивший одобрение императора. Заказ на исполнение получил Архитектор Я. И. Филотей, владелец мастерской по изготовлению монументов, скульптурные работы выполнил скульптор А. Л. Обер. В третью годовщину со дня Цусимского сражения 15 мая 1908 г. состоялось торжественное открытие памятника.",NA
Брусилову А. А.,2007,1926,"г. Санкт-Петербург, Шпалерная ул., 60",bronze,sculpture,person,military,NA,30.3791617,59.9489631,"Выпускник Пажеского корпуса, дворянин, участник русско - турецкой войны 1877 - 78 г.г., выдающий знаток верховой езды, делал карьеру в русской армии, достигнув звания генерала от кавалерии, отдавал приказы типа: ""12-й кавалерийской дивизии — умереть. Умирать не сразу, а до вечера."" В июне 1916 года провёл успешное наступление Юго-Западного фронта, применив при этом неизвестную ранее форму прорыва позиционного фронта, заключавшуюся в одновременном наступлении всех армий. Эта операция вошла в мировую историю войн под названием ""Брусиловский прорыв"". Поддержал отречение Николая II и приход к власти Временного правительства, недолгое время занимал при нем должность Верховного главнокомандующего. А с 1920 г. - уже в Красной Армии. С мая 1920 года возглавлял Особое совещание при главнокомандующем всеми вооружёнными силами Советской Республики, подписал воззвание к войскам барона Врангеля с призывом прекратить войну, в 1924 г. был Главным инспектором кавалерии, награжден огромным количеством орденов разных стран и Георгиевским оружием за храбрость, скончался в 1926 г. от воспаления легких. Как говорится в одном фильме :""Какая интересная жизнь у людей!"" Удостоен памятника только в 2007 г.",NA,Удостоен памятника только в 2007 г.,"Брусилов А.А. - Выпускник Пажеского корпуса, дворянин, участник русско - турецкой войны 1877 - 78 г.г., выдающий знаток верховой езды, делал карьеру в русской армии, достигнув звания генерала от кавалерии, отдавал приказы типа: ""12-й кавалерийской дивизии — умереть. Умирать не сразу, а до вечера."" В июне 1916 года провёл успешное наступление Юго-Западного фронта, применив при этом неизвестную ранее форму прорыва позиционного фронта, заключавшуюся в одновременном наступлении всех армий. Эта операция вошла в мировую историю войн под названием ""Брусиловский прорыв"". Поддержал отречение Николая II и приход к власти Временного правительства, недолгое время занимал при нем должность Верховного главнокомандующего. А с 1920 г. - уже в Красной Армии. С мая 1920 года возглавлял Особое совещание при главнокомандующем всеми вооружёнными силами Советской Республики, подписал воззвание к войскам барона Врангеля с призывом прекратить войну, в 1924 г. был Главным инспектором кавалерии, награжден огромным количеством орденов разных стран и Георгиевским оружием за храбрость, скончался в 1926 г. от воспаления легких. Как говорится в одном фильме :""Какая интересная жизнь у людей!"""
Виллие Я. В.,1859,1854,"г. Санкт-Петербург, Боткинская ул., 20",bronze,sculpture,person,science,"Иенсен Д. И, Штакеншнейдер А. И.",30.346604,59.9584656,"Виллие Яков Васильевич, баронет (1768-1854). Врач, организатор военно-медицинского дела в России. Председатель Медико-хирургической академии в 1808-1838 гг. Скульптор: Иенсен Д. И. Архитектор: Штакеншнейдер А. И. Мастер-каменщик: Балушкин. Памятник, созданный по проекту А. И. Штакеншнейдера и Д. И. Иенсена, представляет собой бронзовую фигуру Виллие, сидящего с пером и свитком в руках; у ног его написанная им книга «Военная фармакопея». Скульптура помещена на высокий постамент, на углах которого высечены из гранита кариатиды (мастер Балушкин). На сторонах постамента бронзовый рельефный герб Виллие и два бронзовых рельефа: первое собрание конференции Медико-хирургической академии в 1808 г. и поле сражения в Отечественной войне 1812 г., на котором Виллие с другими врачами оказывает помощь раненым.",NA,"Скульптор: Иенсен Д. И. Архитектор: Штакеншнейдер А. И. Мастер-каменщик: Балушкин. Памятник, созданный по проекту А. И. Штакеншнейдера и Д. И. Иенсена, представляет собой бронзовую фигуру Виллие, сидящего с пером и свитком в руках; у ног его написанная им книга «Военная фармакопея». Скульптура помещена на высокий постамент, на углах которого высечены из гранита кариатиды (мастер Балушкин). На сторонах постамента бронзовый рельефный герб Виллие и два бронзовых рельефа: первое собрание конференции Медико-хирургической академии в 1808 г. и поле сражения в Отечественной войне 1812 г., на котором Виллие с другими врачами оказывает помощь раненым.","Виллие Яков Васильевич, баронет (1768-1854). Врач, организатор военно-медицинского дела в России. Председатель Медико-хирургической академии в 1808-1838 гг."
Виноградову А. П.,1978,1975,"г. Санкт-Петербург, Аллея Героев Московского парка Победы",bronze,bust,person,science,"Виленский З. М., Маслов В. С.",30.3287695,59.8684463,"Виноградов Александр Павлович (1895-1975). Академик, геохимик, вице-президент Академии наук СССР. Внес значительный вклад в развитие отечественной атомной промышленности. Дважды Герой Социалистического Труда. Скульптор: Виленский З. М. Архитектор: Маслов В. С. Памятник-бюст академику А. П. Виноградову установлен на основании Указа Президиума Верховного Совета СССР от 20 августа 1975 г. о награждении ученого второй золотой медалью «Серп и Молот», открыт в 1978 г.",NA,"Скульптор: Виленский З. М. Архитектор: Маслов В. С. Памятник-бюст академику А. П. Виноградову установлен на основании Указа Президиума Верховного Совета СССР от 20 августа 1975 г. о награждении ученого второй золотой медалью «Серп и Молот», открыт в 1978 г.","Виноградов Александр Павлович (1895-1975). Академик, геохимик, вице-президент Академии наук СССР. Внес значительный вклад в развитие отечественной атомной промышленности. Дважды Герой Социалистического Труда."
Военным медикам,1996,1945,"г. Санкт-Петербург, пл. Военных Медиков",granite,memorail,group,revolution,"Уралов И. Г., Митюрев Ю. К., Митюрева Н. Б., Васильковский В. С., Петров Б. А.",30.3463611,59.9597139,"Руководитель проекта: Уралов И. Г. Архитекторы: Митюрев Ю. К., Митюрева Н. Б., Васильковский В. С. Скульптор: Петров Б. А. Мемориал создан по инициативе Военно-медицинской академии «в целях увековечения памяти военных медиков, павших на полях сражений». Разработчиком проекта был главный художник города И. Г. Уралов.",NA,"Руководитель проекта: Уралов И. Г. Архитекторы: Митюрев Ю. К., Митюрева Н. Б., Васильковский В. С. Скульптор: Петров Б. А. Мемориал создан по инициативе Военно-медицинской академии «в целях увековечения памяти военных медиков, павших на полях сражений». Разработчиком проекта был главный художник города И. Г. Уралов.",NA
"Воинам-интернационалистам, погибшим в Афганистане",1998,1988,"г. Санкт-Петербург, пр. Славы, 45",granite,sculpture,group,soldiers,"Гордиевский Н.,  Тарасова Н.",30.391382,59.8586717,"3 октября 1998 года на территории парка Интернационалистов был установлен монумент воинам-интернационалистам, погибшим в республике Афганистан в 1979—1988 годах. Скульптор: Н. Гордиевский,  Архитектор: Н. Тарасова. В состав мемориала входит статуя Скорбящей Матери (высота фигуры 220 см, постамента - 60 см), две фигуры бойцов (высота 200 см), две гранитные стелы в виде скал высотой 650 и 750 см, установленные на подиуме из полированного гранита высотой 30 см, 10 гранитных стел с фамилиями погибших воинов (по 5 слева и справа).",NA,"3 октября 1998 года на территории парка Интернационалистов был установлен монумент воинам-интернационалистам, погибшим в республике Афганистан в 1979—1988 годах. Скульптор: Н. Гордиевский,  Архитектор: Н. Тарасова. В состав мемориала входит статуя Скорбящей Матери (высота фигуры 220 см, постамента - 60 см), две фигуры бойцов (высота 200 см), две гранитные стелы в виде скал высотой 650 и 750 см, установленные на подиуме из полированного гранита высотой 30 см, 10 гранитных стел с фамилиями погибших воинов (по 5 слева и справа).",NA
Володарскому В.,1925,1918,"г. Санкт-Петербург, Обуховской Обороны пр., 163",bronze,sculpture,person,politics,NA,30.448544,59.878312,"В.Володарский  (Моисей Маркович Гольдштейн 1891—1918) был одной из самых загадочных фигур в большевистском правительстве. Бывший член Бунда, эмигрировавший в США, Володарский в 1917 году вернулся в Россию, где сделал молниеносную карьеру в партии большевиков. В дни семнадцатого года он был одним из самых известных ораторов в городе. После октябрьской революции 26-летний Володарский стал комиссаром большевистского правительства по делам печати, пропаганды и агитации. На этом посту он прославился как ярый душитель «свободной прессы» и «грамма-наци».  20 июня 1918 года В. Володарский отправился на митинг на Обуховский завод. По дороге его машина остановилась, в ней кончился бензин. По трагическому стечению обстоятельств, в сотне метров от этого места, Володарского поджидал террорист Н. Сергеев, член партии правых эсеров. Спустя несколько минут, Володарский был убит. Трибун был торжественно погребен на Марсовом поле, а власти задумались об увековечивании памяти Володарского. Уже в декабре 1918 года на проспекте Обуховской обороны был поставлен памятник Володарскому работы архитектора Л. Руднева. Второй монумент комиссару работы скульптором М. Блоха был установлен в 1919 году недалеко от Дворцовой площади. Этот памятник был взорвано контрреволюционерами. В 1925 году монумент Руднева сменил новый памятник работы Матвея Манизера. Это был один из первых бронзовых памятников СССР. На нем  Володарский изображен в момент завершения речи, в ораторском экстазе. Он как бы спускается со ступеней невидимой трибуны, придерживая левой рукой сползающее с плеча пальто. Фигура Володарского стоит на ступенчатом многоблочном постаменте из розового гранита. На постаменте выбита бронзовая надпись: «Володарский». Общая высота памятника достигает 7.5 метров.",Надпись: Володарский (постамент),"В.Володарский (Моисей Маркович Гольдштейн 1891—1918) был одной из самых загадочных фигур в большевистском правительстве. Бывший член Бунда, эмигрировавший в США, Володарский в 1917 году вернулся в Россию, где сделал молниеносную карьеру в партии большевиков. В дни семнадцатого года он был одним из самых известных ораторов в городе. После октябрьской революции 26-летний Володарский стал комиссаром большевистского правительства по делам печати, пропаганды и агитации. На этом посту он прославился как ярый душитель «свободной прессы» и «грамма-наци». 20 июня 1918 года В. Володарский отправился на митинг на Обуховский завод. По дороге его машина остановилась, в ней кончился бензин. По трагическому стечению обстоятельств, в сотне метров от этого места, Володарского поджидал террорист Н. Сергеев, член партии правых эсеров. Спустя несколько минут, Володарский был убит.","Трибун был торжественно погребен на Марсовом поле, а власти задумались об увековечивании памяти Володарского. Уже в декабре 1918 года на проспекте Обуховской обороны был поставлен памятник Володарскому работы архитектора Л. Руднева. Второй монумент комиссару работы скульптором М. Блоха был установлен в 1919 году недалеко от Дворцовой площади. Этот памятник был взорвано контрреволюционерами. В 1925 году монумент Руднева сменил новый памятник работы Матвея Манизера. Это был один из первых бронзовых памятников СССР. На нем Володарский изображен в момент завершения речи, в ораторском экстазе. Он как бы спускается со ступеней невидимой трибуны, придерживая левой рукой сползающее с плеча пальто. Фигура Володарского стоит на ступенчатом многоблочном постаменте из розового гранита. На постаменте выбита бронзовая надпись: «Володарский». Общая высота памятника достигает 7.5 метров."
"Волынскому А. П., Хрущову А. Ф., Еропкину П. М.",1886,1740,"г. Санкт-Петербург, Большой Сампсониевский пр., 41",bronze,obelisk,group,civic,"Щурупов М. А, Опекушин А. М., Солнцев Ф. Г.",30.3428991,59.9684443,"Волынский Артемий Петрович (1689-1740). Кабинет-министр при дворе императрицы Анны Иоанновны, объединял вокруг себя патриотически настроенных деятелей, боровшихся с засильем Э. Бирона и А. Остермана. Казнен 27 июня 1740 г. Хрущов Андрей Федорович. Казнен в 1740. Член кружка А. П. Волынского. Еропкин Петр Михайлович (1689-1740). Главный архитектор Комиссии о Санкт-Петербургском строении, родственник и участник кружка А. П. Волынского. Архитектор: Щурупов М. А. Скульптор: Опекушин А. М. Художник: Солнцев Ф.Г.",NA,Архитектор: Щурупов М. А. Скульптор: Опекушин А. М. Художник: Солнцев Ф.Г.,"Волынский Артемий Петрович (1689-1740). Кабинет-министр при дворе императрицы Анны Иоанновны, объединял вокруг себя патриотически настроенных деятелей, боровшихся с засильем Э. Бирона и А. Остермана. Казнен 27 июня 1740 г. Хрущов Андрей Федорович. Казнен в 1740. Член кружка А. П. Волынского. Еропкин Петр Михайлович (1689-1740). Главный архитектор Комиссии о Санкт-Петербургском строении, родственник и участник кружка А. П. Волынского."
Воспитателям Александра II: В. А. Жуковскому и К. К. Мердеру,1863,1852,"г. Павловск, Садовая ул., 20",granite,obelisk,group,civic,NA,30.4536026,59.6848394,"Жуковский Василий Андреевич (1783-1852). Поэт, переводчик, с 1826 г. был воспитателем великого князя Александра Николаевича (будущего императора Александра II). Мердер Карл Карлович (1788-1834). Генерал-адъютант, воспитатель цесаревича Александра Николаевича. Памятник-обелиск воспитателям Александра II сооружен по инициативе генерал-адъютанта С. А. Юрьевича, преподававшего наследнику фортификацию и артиллерию. Установлен к 45-летнему юбилею Александра II на территории дачи С.А. Юрьевича, где им была устроена мишень для упражнений цесаревича в стрельбе.",NA,"Памятник-обелиск воспитателям Александра II сооружен по инициативе генерал-адъютанта С. А. Юрьевича, преподававшего наследнику фортификацию и артиллерию. Установлен к 45-летнему юбилею Александра II на территории дачи С.А. Юрьевича, где им была устроена мишень для упражнений цесаревича в стрельбе.","Жуковский Василий Андреевич (1783-1852). Поэт, переводчик, с 1826 г. был воспитателем великого князя Александра Николаевича (будущего императора Александра II). Мердер Карл Карлович (1788-1834). Генерал-адъютант, воспитатель цесаревича Александра Николаевича."
Выстрелу крейсера «Аврора»,1939,1917,"г. Санкт-Петербург, Английская наб., 44",granite,obelisk,event,revolution,Гегелло А. И.,30.289327,59.9327446,"Архитектор: Гегелло А. И. Надписи: врезными тонированными знаками: 25 октября / (7 ноября) 1917 года / стоявший против этого места крейсер / «Аврора» / громом своих пу- / шек, направленных / на Зимний дворец, / возвестил 25 октября / начало новой эры / – эры Великой / социалистической / революции Установлена по решению Ленгорисполкома с целью «увековечить место стоянки крейсера «Аврора» 25 октября (7 ноября) 1917 г.».","Надписи: врезными тонированными знаками: 25 октября / (7 ноября) 1917 года / стоявший против этого места крейсер / «Аврора» / громом своих пу- / шек, направленных / на Зимний дворец, / возвестил 25 октября / начало новой эры / – эры Великой / социалистической / революции",Установлена по решению Ленгорисполкома с целью «увековечить место стоянки крейсера «Аврора» 25 октября (7 ноября) 1917 г.». Архитектор: Гегелло А. И.,NA
Газа И. И.,1962,1933,"г. Санкт-Петербург, Стачек пр., 72",bronze,bust,person,civic,"Гликман Г. Д., Мачерет Ю. Я.",30.26241,59.878488,"Газа Иван Иванович (1894-1933). Слесарь Путиловского завода, активный участник революционного движения. В 1918 комиссар бронепоезда № 6, находившегося на обороне Петрограда. После гражданской войны секретарь райкома и горкома ВКП(б). Похоронен на Марсовом поле. Скульптор: Гликман Г. Д. Архитектор: Мачерет Ю. Я. Подписи: на плинте бюста с тыльной стороны: Гликман. Надписи: на постаменте с лицевой стороны врезными тонированными знаками: Иван / Иванович / Газа. Еще в 1933 г., вскоре после смерти И.И. Газа, рабочие завода «Красный путиловец», на котором он работал, выступили с инициативой сооружения памятника. Тогда же Старо-Петергофский проспект переименован в проспект Газа. В 1959 г. принято решение об установке памятника-бюста И.И. Газа в Кировском районе. Отливка бюста произведена в бронзолитейной мастерской Академии художеств.",Подписи: на плинте бюста с тыльной стороны: Гликман. Надписи: на постаменте с лицевой стороны врезными тонированными знаками: Иван / Иванович / Газа.,"Скульптор: Гликман Г. Д. Архитектор: Мачерет Ю. Я. Еще в 1933 г., вскоре после смерти И.И. Газа, рабочие завода «Красный путиловец», на котором он работал, выступили с инициативой сооружения памятника. Тогда же Старо-Петергофский проспект переименован в проспект Газа. В 1959 г. принято решение об установке памятника-бюста И.И. Газа в Кировском районе. Отливка бюста произведена в бронзолитейной мастерской Академии художеств.","Газа Иван Иванович (1894-1933). Слесарь Путиловского завода, активный участник революционного движения. В 1918 комиссар бронепоезда № 6, находившегося на обороне Петрограда. После гражданской войны секретарь райкома и горкома ВКП(б). Похоронен на Марсовом поле."
Героическим защитникам Ленинграда,1975,1945,"г. Санкт-Петербург, пл. Победы",granite,memorail,group,soldiers,NA,30.3203599,59.8430874,"Открыт в 1975 (подземный памятный зал - 23.2.1978). Архитектурно-скульптурная композиция, доминанта которой - 48-метровый обелиск из блоков красного гранита. У его подножия - 5-метровая бронзовая скульптура ""Победители"". За обелиском - открытый круглый зал, опоясанный ""разорванным кольцом"" из бетона и гранита со скульптурной группой на постаменте из лабрадорита ""Блокада"". Монумент развернут в сторону Пулковского шоссе, на аванплощади - скульптурные группы ""Летчик и моряки"", ""Народные мстители (Снайперы)"", ""Оборонные работы"", ""На окопах"", ""Солдаты"", ""Трудовой фронт (Литейщицы)"", ""Народное ополчение"". Всего в группах 26 бронзовых фигур (скульпор М. К. Аникушин). Общее архитектурное решение в ансамбле пл. Победы - С. Б. Сперанский, В. А. Каменский. В подземном зале - мозаики ""1941"" и ""Победа"" (художники А. А. Мыльников, С. Н. Репин, И. Г. Уралов), памятная ""Летопись блокады"" из 900 медных листов, списки воинских частей, промышленных предприятий и учреждений, принимавших участие в битве за Ленинград. Конкурсы на проект монумента проходили в 1963-71. Сооружение (на территории 2 га) велось методом народной стройки в течение 13 месяцев.",NA,"Открыт в 1975 (подземный памятный зал - 23.2.1978). Архитектурно-скульптурная композиция, доминанта которой - 48-метровый обелиск из блоков красного гранита. У его подножия - 5-метровая бронзовая скульптура ""Победители"". За обелиском - открытый круглый зал, опоясанный ""разорванным кольцом"" из бетона и гранита со скульптурной группой на постаменте из лабрадорита ""Блокада"". Монумент развернут в сторону Пулковского шоссе, на аванплощади - скульптурные группы ""Летчик и моряки"", ""Народные мстители (Снайперы)"", ""Оборонные работы"", ""На окопах"", ""Солдаты"", ""Трудовой фронт (Литейщицы)"", ""Народное ополчение"". Всего в группах 26 бронзовых фигур (скульпор М. К. Аникушин). Общее архитектурное решение в ансамбле пл. Победы - С. Б. Сперанский, В. А. Каменский. В подземном зале - мозаики ""1941"" и ""Победа"" (художники А. А. Мыльников, С. Н. Репин, И. Г. Уралов), памятная ""Летопись блокады"" из 900 медных листов, списки воинских частей, промышленных предприятий и учреждений, принимавших участие в битве за Ленинград. Конкурсы на проект монумента проходили в 1963-71. Сооружение (на территории 2 га) велось методом народной стройки в течение 13 месяцев.",NA
Героям дела коммуны,1927,1922,"г. Петергоф, пр. Красного Курсанта",granite,memorial,group,soldiers,NA,29.9111693,59.8794465,"Надписи: текст доски врезными тонированными знаками: Здесь кости / героев дела / коммуны / под камнем /суровым/покой обрели. Памятник сооружен рабочими Петергофской гранильной фабрики и установлен над братской могилой бойцов, погибших в годы гражданской войны.",Надписи: текст доски врезными тонированными знаками: Здесь кости / героев дела / коммуны / под камнем /суровым/покой обрели,"Памятник сооружен рабочими Петергофской гранильной фабрики и установлен над братской могилой бойцов, погибших в годы гражданской войны.",NA
Героям Краснодона,1956,1943,"г. Санкт-Петербург, Лифляндская ул., 12",bronze,sculpture,group,revolution,"Агибалов В. И., Мухин В. И., Федченко В. Х., Кирхоглани В. Д.",30.2598168,59.902708,"Громова Ульяна Матвеевна (1924-1943) Герой Советского Союза (посмертно) один из руководителей подпольной комсомольской организации в г. Краснодоне «Молодая гвардия». Земнухов Иван Александрович (1923-1943). Герой Советского Союза (посмертно), один из руководителей подпольной комсомольской организации в г. Краснодоне «Молодая гвардия». Кошевой Олег Васильевич (1926-1943). Герой Советского Союза (посмертно), комсорг подпольной организации в г. Краснодоне «Молодая гвардия». Тюленин Сергей Гаврилович (1925-1943). Герой Советского Союза (посмертно) один из руководителей подпольной комсомольской организации в г. Краснодоне «Молодая гвардия». Шевцова Любовь Григорьевна (1924-1943). Герой Советского Союза (посмертно) один из руководителей подпольной комсомольской организации в г. Краснодоне «Молодая гвардия». Скульпторы: Агибалов Василий Иванович (род. 1913), Мухин Виктор Иванович (1914-1977), Федченко Василий Харлампиевич (1907-1979) Архитектор: Кирхоглани Валериан Дмитриевич (1913-1994) Подписи: на плинте скульптуры с тыльной стороны: Монументскульптура / Ленинград 1955 / авторы: Мухин В. И. Агибалов В. И. Федченко В.Х. Надписи: на постаменте с лицевой стороны накладными литерами: Героям / Краснодона Скульптурная композиция, состоящая из пяти фигур-молодогвардейцев Олега Кошевого, Ульяны Громовой, Ивана Земнухова, Любови Шевцовой, Сергея Тюленина, окружающих Красное знамя, является авторским повторением скульптурной группы «Клятва», установленной в 1954 г. в г. Краснодоне. Отливка из бронзы этой скульптурной группы проводилась в Ленинграде на заводе «Монументскульптура». По решению ЦК ВЛКСМ Украины повторная отливка с той же модели, выполненная на заводе, была передана в дар ленинградскому комсомолу. Памятник, названный «Героям Краснодона», установлен в парке имени 30-летия ВЛКСМ (как в 1948-1991 гг. назывался Екатерингофский парк).",Подписи: на плинте скульптуры с тыльной стороны: Монументскульптура / Ленинград 1955 / авторы: Мухин В. И. Агибалов В. И. Федченко В.Х. Надписи: на постаменте с лицевой стороны накладными литерами: Героям / Краснодона,"Скульпторы: Агибалов Василий Иванович (род. 1913), Мухин Виктор Иванович (1914-1977), Федченко Василий Харлампиевич (1907-1979) Архитектор: Кирхоглани Валериан Дмитриевич (1913-1994). Скульптурная композиция, состоящая из пяти фигур-молодогвардейцев Олега Кошевого, Ульяны Громовой, Ивана Земнухова, Любови Шевцовой, Сергея Тюленина, окружающих Красное знамя, является авторским повторением скульптурной группы «Клятва», установленной в 1954 г. в г. Краснодоне. Отливка из бронзы этой скульптурной группы проводилась в Ленинграде на заводе «Монументскульптура». По решению ЦК ВЛКСМ Украины повторная отливка с той же модели, выполненная на заводе, была передана в дар ленинградскому комсомолу. Памятник, названный «Героям Краснодона», установлен в парке имени 30-летия ВЛКСМ (как в 1948-1991 гг. назывался Екатерингофский парк).","Громова Ульяна Матвеевна (1924-1943) Герой Советского Союза (посмертно) один из руководителей подпольной комсомольской организации в г. Краснодоне «Молодая гвардия». Земнухов Иван Александрович (1923-1943). Герой Советского Союза (посмертно), один из руководителей подпольной комсомольской организации в г. Краснодоне «Молодая гвардия». Кошевой Олег Васильевич (1926-1943). Герой Советского Союза (посмертно), комсорг подпольной организации в г. Краснодоне «Молодая гвардия». Тюленин Сергей Гаврилович (1925-1943). Герой Советского Союза (посмертно) один из руководителей подпольной комсомольской организации в г. Краснодоне «Молодая гвардия». Шевцова Любовь Григорьевна (1924-1943). Герой Советского Союза (посмертно) один из руководителей подпольной комсомольской организации в г. Краснодоне «Молодая гвардия»."
